Esas No,Tarih,İl,Milletvekili,Muhatap Bakanlık,Durum,Önerge Özeti
7 / 20296,10.12.2024,Hakkari,Öznur BARTİN,Ulaştırma Ve Altyapı Bakanlığı,Süresi Geçtikten Sonra Cevaplandı,Erziki Tüneli'nin çift yönlü trafiğe uygun hale getirilmesi talebine ilişkin
7 / 32042,29.07.2025,Diyarbakır,Serhat EREN,İçişleri Bakanlığı,Cevaplandı,Şanlıurfa'nın Ceylanpınar ilçesinde bulunan bir karakolda yabancı uyruklu iki kişinin kötü muameleye maruz kaldığı iddiasına ilişkin
7 / 39820,29.01.2026,İzmir,İbrahim AKIN,"Çevre, Şehircilik Ve İklim Değişikliği Bakanlığı",Cevaplanmadığı Gelen Kağıtlarda İlan Edildi,Sincan OSB'deki fabrikaların kullandığı atık sahasının çevreye etkisine ilişkin
7 / 4776,27.09.2023,Ankara,Yüksel ARSLAN,Sağlık Bakanlığı,Cevaplanmadığı Gelen Kağıtlarda İlan Edildi,Tıp fakültesi mezunu olmayan mikrobiyoloji ve biyokimya uzmanlarının mali ve özlük haklarının iyileştirilmesine ilişkin
7 / 39083,14.01.2026,İstanbul,Evrim RIZVANOĞLU,Enerji Ve Tabii Kaynaklar Bakanlığı,Süresi Geçtikten Sonra Cevaplandı,Devredilen maden ruhsatlarına ilişkin
7 / 30469,07.07.2025,Ankara,Deniz DEMİR,Enerji Ve Tabii Kaynaklar Bakanlığı,Cevaplandı,2025 yılının Temmuz ayında İzmir'in ilçelerinde çıkan orman yangınlarının nedenine ilişkin
7 / 43812,27.04.2026,Eskişehir,İbrahim ARSLAN,"Çevre, Şehircilik Ve İklim Değişikliği Bakanlığı",15 Günlük Cevaplanma Süresi Devam Ediyor,Eskişehir'in Alpu ilçesine bağlı Arıkaya Mahallesi'nde bulunan bazı alanların orman sınırı dışına çıkarılmasına ilişkin
7 / 43540,09.04.2026,Balıkesir,Turhan ÇÖMEZ,Milli Savunma Bakanlığı,Cevaplandı,Katar'da şehit düşen askeri ve teknik personel için düzenlenen cenaze törenine ilişkin
7 / 3404,21.08.2023,Denizli,Yasin ÖZTÜRK,Tarım Ve Orman Bakanlığı,Süresi Geçtikten Sonra Cevaplandı,Ziraat odalarınca tahsil edilemeyen üye aidat borç tutarına ilişkin
7 / 21869,16.01.2025,Antalya,Aliye COŞAR,Hazine Ve Maliye Bakanlığı,Süresi Geçtikten Sonra Cevaplandı,2020'den bu yana Antalya'da kredi veya kredi kartı borcu nedeniyle haklarında yasal takip başlatılan kişi sayısına ilişkin
